,model,val_AUC
0,model_0,0.6585366129875183
1,model_1,0.6585366129875183
2,model_2,0.7474170923233032
3,model_3,0.3264213800430298
4,model_4,0.6585366129875183
5,model_5,0.8200779557228088
6,model_6,0.6585366129875183
7,model_7,0.6585366129875183
8,model_8,0.5988296866416931
9,model_9,0.6585366129875183
10,model_10,0.6585366129875183
11,model_11,0.6349840760231018
12,model_12,0.6585366129875183
13,model_13,0.7225412130355835
14,model_14,0.7029889822006226
15,model_15,0.6123117208480835
16,model_16,0.6585366129875183
17,model_17,0.7478905916213989
18,model_18,0.6585366129875183
19,model_19,0.7393376231193542
